video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,trajectory_length_ratio
6,CoTracker3,strong,75.4950495049505,26.373626373626376,14.486921529175051,54.57875457875458,35.476190476190474,73.62637362637363,53.99188092016238,82.23443223443223,63.271162123385935,88.82783882783882,69.09361069836552,47.26395314945588,65.12820512820512,2.4273176193237305,1.6142538537769957
7,CoTracker3,none,93.86666666666666,45.26901669758813,28.785488958990534,60.42053184910328,42.55783500654736,78.10760667903524,62.32604373757455,90.35250463821892,79.05701754385966,96.96969696969697,89.55310504933256,60.455898059260925,74.22387136672852,8.082843780517578,1.0869011934375328
7,CoTracker3,medium,92.44444444444444,28.509585652442794,16.30550621669627,46.320346320346324,29.253849190682985,68.21273964131107,49.15717539863326,83.42609771181199,66.78553234844625,96.04205318491033,86.02272727272727,49.50495808543721,64.5021645021645,9.127251625061035,1.0776984362373188
7,CoTracker3,strong,79.24444444444444,10.327767470624613,6.02810650887574,22.325293753865182,14.132165605095542,37.53865182436611,25.635407537248028,56.153370439084725,42.282878411910666,79.5299938157081,61.24859392575927,29.865430397777853,41.17501546072974,8.274666786193848,0.9241514084686506
8,CoTracker3,none,87.63586956521739,31.204379562043794,19.27144535840188,72.62773722627736,57.36434108527132,93.61313868613139,78.69718309859155,97.90145985401459,83.54430379746836,98.63138686131386,83.54430379746836,64.4843154274403,78.7956204379562,14.803017616271973,0.7490725620372326
8,CoTracker3,medium,83.62771739130434,28.284671532846716,17.761989342806395,64.78102189781022,51.369863013698634,81.56934306569343,67.84810126582278,89.96350364963503,73.10704960835508,95.52919708029196,77.27272727272727,57.47194610068205,72.02554744525548,8.432090759277344,0.7432927980759806
8,CoTracker3,strong,78.80434782608695,20.164233576642335,11.787072243346007,58.57664233576643,42.916666666666664,75.18248175182481,58.91891891891892,83.02919708029196,63.72315035799523,90.05474452554745,66.50485436893204,48.77013251117177,65.4014598540146,3.3043646812438965,1.1396466872798676
9,CoTracker3,none,65.77986437141367,8.78186968838527,4.993065187239944,21.813031161473088,14.436885865457294,35.59962228517469,23.491027732463294,53.352219074598686,35.7847533632287,66.66666666666666,39.53917050691244,23.648980531060335,37.242681775259676,17.741365432739258,0.5723543817498832
9,CoTracker3,medium,52.99947835159102,3.9660056657223794,2.34248788368336,10.198300283286118,4.971002485501243,21.718602455146367,7.555178268251274,35.59962228517469,9.224137931034484,54.296506137865904,13.632286995515694,7.54501871279721,25.15580736543909,15.069870948791504,0.42807040180630507
9,CoTracker3,strong,52.895148669796555,1.5108593012275733,1.1645962732919255,3.39943342776204,2.5984251968503935,7.837582625118037,4.742765273311897,17.186024551463642,7.154605263157894,30.40604343720491,10.799319727891156,5.291942346900654,12.067988668555241,10.668187141418457,0.5782073859852347
10,CoTracker3,none,97.0,55.319148936170215,37.23628691983122,82.4468085106383,67.43886743886743,96.96048632218846,90.76246334310851,99.62006079027356,95.34534534534535,99.69604863221885,95.49211119459054,77.25501484834861,86.80851063829789,6.606571674346924,0.9857402401520049
10,CoTracker3,medium,94.19999999999999,33.96656534954408,19.872379216043758,67.47720364741642,49.177538287010776,92.62917933130699,81.37931034482759,97.64437689969606,89.34485241180705,98.93617021276596,90.02890173410405,65.96059639875864,78.1306990881459,7.916317939758301,1.0889879839663872
10,CoTracker3,strong,64.5,10.638297872340425,5.78691184424013,35.18237082066869,19.7062423500612,66.8693009118541,34.52544704264099,89.43768996960486,45.103857566765576,97.41641337386018,46.51685393258427,30.327862547258434,59.90881458966564,8.957717895507812,0.6692624423070592
11,CoTracker3,none,87.4885004599816,37.194337194337194,24.250214224507282,65.63706563706563,48.261758691206545,90.21879021879022,70.18779342723005,99.35649935649936,82.84993694829761,99.48519948519949,82.84993694829761,61.67992804790783,78.37837837837837,6.155939102172852,0.9732164635283727
11,CoTracker3,medium,86.75252989880404,20.592020592020592,11.591962905718702,54.56885456885456,37.26235741444867,80.18018018018019,59.38189845474614,93.05019305019306,75.45565006075334,95.10939510939511,76.9607843137255,52.13053062987847,68.70012870012869,5.335752964019775,0.8959690985092702
11,CoTracker3,strong,70.19319227230912,4.89060489060489,2.4916943521594686,14.800514800514799,8.056042031523642,41.95624195624196,28.94461859979101,61.77606177606177,46.55581947743468,76.57657657657657,51.5970515970516,27.529045211592084,40.0,4.392367362976074,0.6677505191465266
12,CoTracker3,none,97.57281553398059,67.74509803921569,50.1861504095309,91.76470588235294,83.36363636363636,99.11764705882354,96.58869395711501,100.0,97.55142017629774,100.0,97.55142017629774,85.04826421657555,91.72549019607843,1.6850875616073608,0.9599505494505495
12,CoTracker3,medium,98.15533980582525,60.0,41.906096706377014,90.88235294117646,81.61434977578476,98.82352941176471,95.84139264990328,100.0,98.14090019569471,100.0,98.14090019569471,83.1287279046909,89.94117647058823,1.4294861555099487,1.0683296703296705
12,CoTracker3,strong,99.22330097087378,29.901960784313726,17.538815411155838,83.03921568627452,70.76023391812866,96.27450980392157,92.10526315789474,100.0,99.22027290448344,100.0,99.22027290448344,75.76897165922922,81.84313725490196,1.3672378063201904,1.0877142857142856
13,CoTracker3,none,88.81469115191987,29.125,16.5,57.06250000000001,39.32842686292548,85.75,70.16853932584269,97.875,85.03359804520464,100.0,87.55417956656348,59.71694876010727,73.96249999999999,4.261606216430664,0.8743481768744286
13,CoTracker3,medium,88.31385642737897,25.1875,13.576532531026702,54.75,36.03603603603604,81.4375,65.20787746170679,95.0625,83.14129775621589,98.75,85.73185731857319,56.73872022071173,71.0375,3.7612640857696533,0.8611727712211542
13,CoTracker3,strong,85.19755147468003,7.875,4.1739740441950195,29.9375,18.044515103338632,61.8125,45.01953125,84.75,68.27195467422096,94.9375,79.7820823244552,43.05841147924197,55.86249999999999,2.8386218547821045,1.0161572939230357
14,CoTracker3,none,69.1721686135094,17.43810548977395,9.851877368239752,45.20990312163617,29.634146341463413,79.60172228202367,54.73071324599709,96.39397201291712,66.61442006269593,100.0,68.01896733403584,45.770024870486395,67.72874058127019,5.417743682861328,0.6558157429629216
14,CoTracker3,medium,44.43880142204165,17.43810548977395,9.343936381709742,35.30678148546825,17.92452830188679,65.60818083961249,30.393551446183025,83.85360602798708,35.60157790927022,92.14208826695372,37.29405891163255,26.111530590136468,58.869752421959085,11.219841003417969,0.4437429164108574
