video,model,blur,average_jaccard,average_pts_within_thresh,jaccard_1,jaccard_16,jaccard_2,jaccard_4,jaccard_8,occlusion_accuracy,pts_within_1,pts_within_16,pts_within_2,pts_within_4,pts_within_8
21,TapNext,none,83.99961151315975,90.16420361247948,53.94904458598726,98.44006568144499,75.65406976744185,93.51481184947959,98.44006568144499,98.44006568144499,69.6223316912972,99.83579638752053,85.63218390804597,96.2233169129721,99.50738916256158
21,TapNext,medium,52.17270477353745,61.39573070607553,9.67741935483871,97.8688524590164,25.27244421380384,35.69421023046655,92.35059760956176,98.19376026272579,17.48768472906404,99.58949096880131,40.14778325123153,53.11986863711001,96.63382594417077
21,TapNext,strong,16.13227168745548,23.004926108374384,0.6336405529953917,43.43185550082102,3.1896042528056703,9.943360604153556,23.462897526501767,43.43185550082102,1.2315270935960592,57.14285714285714,5.41871921182266,16.502463054187192,34.72906403940887
22,TapNext,none,51.380368371915054,73.98659966499162,15.565345080763581,68.16239316239316,40.95522388059701,64.41504178272982,67.80383795309169,76.7209668943773,27.97319932998325,99.07872696817421,61.39028475711893,86.93467336683418,94.55611390284757
22,TapNext,medium,15.866015194043673,41.256281407035175,3.4198860037998733,27.578124999999996,7.85997357992074,15.815602836879433,24.65648854961832,51.602732527588024,5.6951423785594635,94.38860971524288,13.06532663316583,31.65829145728643,61.47403685092128
22,TapNext,strong,7.602649319587236,20.737018425460636,0.0643915003219575,22.555205047318612,1.2377850162866448,3.3932135728542914,10.762651461154668,49.13294797687861,0.33500837520938026,60.88777219430486,3.2663316582914574,11.055276381909549,28.14070351758794
23,TapNext,none,69.69225174873756,81.10385756676557,24.57375833951075,90.5328798185941,64.51297112090064,80.02142474558114,88.82022471910112,92.3147722043258,39.762611275964396,99.7626112759644,78.93175074183976,89.91097922848664,97.1513353115727
23,TapNext,medium,34.17003488686771,48.367952522255194,1.9387755102040816,73.53792704111174,8.547627671133647,23.9454094292804,62.880434782608695,78.96916705016108,3.7982195845697326,96.43916913946587,15.66765578635015,41.958456973293764,83.97626112759644
23,TapNext,strong,4.613600896065694,8.985163204747774,0.04854368932038835,13.678985107556535,1.2278978388998034,2.690582959641256,5.421994884910486,33.68614818223654,0.11869436201780414,31.097922848664687,1.661721068249258,3.7388724035608307,8.30860534124629
24,TapNext,none,83.49468825075874,95.46061415220294,58.307210031347964,90.08782936010039,88.90274314214463,90.08782936010039,90.08782936010039,91.8974358974359,78.1041388518024,100.0,99.19893190921229,100.0,100.0
24,TapNext,medium,61.3413375615656,78.7716955941255,14.00454201362604,82.54545454545455,45.507246376811594,82.10399032648125,82.54545454545455,85.23076923076923,26.168224299065418,100.0,68.62483311081442,99.06542056074767,100.0
24,TapNext,strong,22.452235594033674,60.16021361815754,3.8394415357766145,44.417475728155345,7.303877366997296,14.864864864864865,41.835518474374254,53.02564102564102,13.084112149532709,100.0,32.71028037383177,60.88117489986649,94.12550066755674
25,TapNext,none,43.870993458857654,66.68965517241378,15.348837209302326,62.62295081967213,30.87071240105541,48.94894894894895,61.563517915309454,73.30210772833723,26.20689655172414,97.58620689655172,48.62068965517241,71.37931034482759,89.65517241379311
25,TapNext,medium,21.028264751640474,45.862068965517246,5.41871921182266,31.28834355828221,13.527851458885943,24.418604651162788,30.48780487804878,59.250585480093676,11.379310344827587,71.72413793103448,29.655172413793103,50.0,66.55172413793103
25,TapNext,strong,10.566261206544969,20.344827586206897,1.70316301703163,25.903614457831324,3.2098765432098766,7.179487179487179,14.835164835164836,58.78220140515222,2.413793103448276,55.51724137931034,4.827586206896552,10.689655172413794,28.27586206896552
26,TapNext,none,68.92481208647602,77.42980561555075,19.277885235332043,98.07280513918629,47.29299363057325,81.90757128810226,98.07280513918629,98.1230448383733,32.289416846652266,100.0,64.2548596112311,90.6047516198704,100.0
26,TapNext,medium,46.42703590699716,57.9913606911447,6.505026611472502,83.02845528455285,22.68392370572207,48.230452674897116,71.68732125834127,92.59645464025026,11.879049676025918,93.30453563714903,36.17710583153348,64.57883369330453,84.01727861771057
26,TapNext,strong,5.405986407467401,10.561555075593954,0.16433853738701726,12.350230414746544,2.0938023450586267,4.545454545454546,7.876106194690266,33.99374348279458,0.21598272138228944,27.645788336933048,3.131749460043196,6.8034557235421165,15.010799136069114
27,TapNext,none,67.3404989830778,80.85357846355876,26.380368098159508,90.50554870530209,52.366863905325445,77.99539170506912,89.4543225015328,92.82051282051282,43.20420223243598,99.4747209455023,71.30663164806303,91.46421536441235,98.81812212738016
27,TapNext,medium,59.41287457617157,71.66119500984898,16.362931368747578,86.3975155279503,38.87089310504396,70.41453719477569,85.01849568434032,88.76923076923077,28.168089297439263,96.4543663821405,55.87655942219304,83.32239001969796,94.48456992777413
27,TapNext,strong,23.21255488703324,31.477347340774784,1.6556291390728477,51.698579369981466,7.483588621444201,18.704688255195748,36.52028904947193,62.76923076923077,2.6263952724885096,69.79645436638215,11.29349967170059,26.132632961260672,47.53775443204202
28,TapNext,none,68.65163434522657,79.93945509586277,31.852358168147642,92.51497005988024,56.82926829268292,72.38605898123325,89.67551622418878,93.56775300171527,47.124117053481335,99.39455095862765,71.94752774974774,84.15741675075681,97.0736629667003
28,TapNext,medium,37.07541201242798,48.90010090817356,8.88888888888889,88.27586206896552,16.31162507608034,24.333116460637605,47.56756756756757,90.30874785591767,15.842583249243189,97.67911200807265,27.346115035317858,38.4460141271443,65.18668012108981
28,TapNext,strong,4.895818504877141,7.830474268415741,0.6853582554517134,12.300208478109798,2.213788741302973,3.5897435897435894,5.689993459777633,57.97598627787307,1.109989909182644,20.080726538849646,3.5317860746720484,5.650857719475278,8.779011099899092
29,TapNext,none,74.1469063302394,84.07534246575341,35.69739952718676,92.7791771620487,65.06110711718188,84.41767068273093,92.7791771620487,94.60825610783488,52.140410958904106,98.63013698630137,78.93835616438356,92.46575342465754,98.20205479452055
29,TapNext,medium,42.51474108953598,53.83561643835616,1.943127962085308,77.76859504132231,10.534429599177802,45.436105476673426,76.89144736842105,82.56107834877844,3.6815068493150687,94.52054794520548,18.065068493150687,60.70205479452054,92.20890410958904
29,TapNext,strong,1.4173881904165062,3.1506849315068495,0.0,4.890510948905109,0.0,0.20920502092050208,1.98722498225692,23.75737152485257,0.0,11.472602739726028,0.0,0.4280821917808219,3.8527397260273974
