video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate,trajectory_length_ratio
9,CoWTracker,none,82.78560250391236,10.576015108593012,5.304908279623203,26.440037771482533,14.686825053995682,51.463644948064214,32.75,73.93767705382436,51.28205128205128,88.10198300283287,63.63636363636363,33.53202965040676,50.10387157695939,17.988662719726562,1.0663165358218303,0.1958041958041958,0.14944649446494465,1.2047407982934515
9,CoWTracker,medium,77.30829420970265,4.343720491029273,2.130822596630327,11.142587346553352,5.746536685479733,30.31161473087819,17.30221969265794,54.95750708215298,35.68136932192232,77.52596789423984,53.57675111773472,22.887539882885005,35.65627950897073,22.630168914794922,1.2823083080646653,0.2202797202797203,0.22693726937269373,1.4835536740104882
9,CoWTracker,strong,69.3792383933229,1.794145420207743,0.869167429094236,5.94900849858357,2.8931404573028465,19.8300283286119,9.975062344139651,38.243626062322946,20.888157894736842,57.79036827195468,34.7799511002445,13.881095845103614,24.721435316336166,21.46331787109375,1.4016123595228605,0.3927738927738928,0.23062730627306274,1.761525464274165
10,CoWTracker,none,97.95,51.899696048632215,34.359233097880924,78.49544072948328,63.07409675443968,93.3130699088146,85.05906879777623,97.72036474164135,92.6917510853835,98.17629179331307,93.53197674418605,73.74322529593329,83.92097264437692,5.860752105712891,1.0205652214852858,0.05263157894736842,0.0037285607755406414,1.0107125354006157
10,CoWTracker,medium,95.15,37.00607902735562,21.81899641577061,69.98480243161094,50.971682398667404,90.19756838905775,77.01822916666666,97.41641337386018,88.55755894590847,98.17629179331307,89.87430167597765,65.64815372059816,78.5562310030395,6.646417617797852,1.1582153878301675,0.13450292397660818,0.0037285607755406414,1.1331578418141885
10,CoWTracker,strong,90.7,14.513677811550153,7.335907335907336,41.79331306990882,24.440465532676814,77.58358662613982,57.328805885681945,95.8966565349544,80.87182823682498,98.25227963525836,84.59495351925631,50.914392102069485,65.6079027355623,10.029391288757324,1.7288008836540427,0.24415204678362573,0.014168530947054437,1.2941618591808095
11,CoWTracker,none,89.2364305427783,34.36293436293436,20.444104134762632,66.40926640926641,47.69953051643193,86.35778635778635,70.4225352112676,97.42599742599742,85.27679623085983,100.0,86.15384615384616,61.999362449433626,76.91119691119692,4.512765884399414,1.0668759099339782,0.21935483870967742,0.06186868686868687,1.0788783092593264
11,CoWTracker,medium,89.60441582336706,15.057915057915059,7.804878048780488,54.95495495495496,36.54015887025596,84.42728442728443,67.78741865509761,97.42599742599742,86.3855421686747,98.32689832689833,86.3855421686747,56.980707982296686,70.03861003861005,5.231688499450684,1.2227714576741642,0.17096774193548386,0.07575757575757576,1.085274964197129
11,CoWTracker,strong,88.50045998160073,5.148005148005148,2.609262883235486,20.077220077220076,10.541110330288124,58.815958815958815,38.22495606326889,91.76319176319177,76.94038245219348,96.65379665379665,83.9766081871345,42.4584639832241,54.491634491634485,7.099905967712402,1.6120394342158157,0.23225806451612904,0.06691919191919192,1.1579891887290679
12,CoWTracker,none,99.6116504854369,70.68627450980392,54.4973544973545,97.6470588235294,95.0381679389313,100.0,99.609375,100.0,99.609375,100.0,99.609375,89.67272948725716,93.66666666666667,1.5848066806793213,0.9963010317785035,0.4,0.0,1.0867142857142857
12,CoWTracker,medium,99.41747572815534,66.86274509803921,50.0,93.82352941176471,87.87878787878788,100.0,99.41520467836257,100.0,99.41520467836257,100.0,99.41520467836257,87.22488038277511,92.1372549019608,1.6726081371307373,1.0455966644532229,0.6,0.0,1.0897142857142856
12,CoWTracker,strong,99.41747572815534,37.35294117647059,22.882882882882882,81.47058823529412,68.39506172839506,99.80392156862746,99.0272373540856,100.0,99.41520467836257,100.0,99.41520467836257,77.82711826441773,83.72549019607844,2.094543933868408,1.3105617909526317,0.6,0.0,1.0897142857142856
13,CoWTracker,none,95.21424596549805,25.75,14.415675297410777,59.06249999999999,40.524280189084664,87.875,75.14729512587039,99.0625,93.26241134751773,100.0,94.87485101311086,63.64490259459888,74.35000000000001,4.2759013175964355,1.1248555988451452,0.39593908629441626,0.004923076923076923,1.0684796330970923
13,CoWTracker,medium,95.04730105731775,25.5625,14.231036882393877,53.43750000000001,35.21416803953871,86.5,72.69857969489742,98.5625,92.21311475409836,99.8125,94.37537004144464,61.746453882474604,72.775,4.947668552398682,1.2556914827729362,0.4365482233502538,0.0018461538461538461,1.1737205789471903
13,CoWTracker,strong,92.54312743461325,8.5,4.339440694310511,34.0,19.119266055045873,75.3125,56.05769230769231,96.6875,86.55172413793103,98.875,90.04683840749415,51.222992320494775,62.675000000000004,5.988883018493652,1.5230348229236856,0.45685279187817257,0.02707692307692308,1.2792765618347217
14,CoWTracker,none,95.37836465210768,15.285252960172228,8.093473924194928,39.28955866523143,23.832843617368592,75.72658772874058,58.570234113712374,97.68568353067815,91.08312342569269,100.0,95.31410916580845,55.378756849355405,65.59741657696448,5.668422222137451,1.1183163120502895,0.7567567567567568,0.0037174721189591076,1.1075827240423433
14,CoWTracker,medium,95.37836465210768,5.220667384284177,2.6287262872628725,18.083961248654468,9.73630831643002,46.60925726587728,29.470085470085472,84.71474703982777,70.35537561853351,98.8697524219591,93.21428571428572,41.08095628131952,50.699677072120565,7.159090042114258,1.4330980226525296,0.7297297297297297,0.0053106744556558685,1.0833721977265538
14,CoWTracker,strong,89.99492127983748,3.606027987082885,1.488013226784238,10.333692142088267,4.660414890593919,29.171151776103336,15.708451146716934,67.59956942949408,47.91164658634538,93.16469321851453,81.96640316205533,30.34698580249916,40.77502691065663,13.177886962890625,2.844490063855647,0.7387387387387387,0.061072756240042485,1.0127669345686592
15,CoWTracker,none,99.60732984293193,61.6,44.38040345821326,79.2,65.34653465346535,92.26666666666667,85.32675709001232,100.0,99.60159362549801,100.0,99.60159362549801,78.85137649053739,86.61333333333333,2.454529285430908,1.014350172529951,0.21428571428571427,0.0,1.011893441807235
15,CoWTracker,medium,99.60732984293193,45.33333333333333,29.234737747205504,73.73333333333333,58.21052631578948,91.46666666666667,83.96572827417381,98.66666666666667,96.98558322411533,100.0,99.60159362549801,73.59963383735642,81.84000000000002,2.621535539627075,1.0576827633661487,0.21428571428571427,0.0,1.0137407324476289
15,CoWTracker,strong,99.21465968586386,17.466666666666665,9.541150764748725,46.93333333333333,30.555555555555557,76.53333333333333,61.72043010752688,95.19999999999999,90.13906447534767,100.0,99.20529801324504,58.232299783284766,67.22666666666667,4.003678321838379,1.646572746863128,0.35714285714285715,0.0013157894736842105,1.0220240583171618
16,CoWTracker,none,100.0,94.28571428571428,89.1891891891892,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.83783783783784,98.85714285714286,3.392448902130127,0.9925633270371164,0.0,0.0,1.0
16,CoWTracker,medium,100.0,89.79591836734694,81.48148148148148,99.18367346938776,98.38056680161942,100.0,100.0,100.0,100.0,100.0,100.0,95.97240965662017,97.79591836734693,3.938318967819214,1.1524944219054336,0.0,0.0,1.0
16,CoWTracker,strong,100.0,11.428571428571429,6.0606060606060606,83.6734693877551,71.9298245614035,100.0,100.0,100.0,100.0,100.0,100.0,75.5980861244019,79.02040816326532,4.861237525939941,1.427524641934647,0.0,0.0,1.0
17,CoWTracker,none,91.1275415896488,37.93103448275862,21.813031161473088,60.3448275862069,39.83739837398374,84.23645320197043,66.02316602316603,93.34975369458128,78.79417879417879,99.01477832512316,87.77292576419214,58.84814002339876,74.97536945812809,10.136946678161621,0.9735206296896377,0.35555555555555557,0.0,1.3421356421356423
17,CoWTracker,medium,95.37892791127541,2.70935960591133,1.2330456226880395,11.822660098522167,6.072351421188631,36.206896551724135,21.270310192023633,87.93103448275862,73.9406779661017,99.75369458128078,93.63207547169812,39.22969213474003,47.6847290640394,14.262248039245605,1.3801806957976872,0.1259259259259259,0.019230769230769232,1.1708225108225108
17,CoWTracker,strong,89.46395563770795,2.2167487684729066,0.9580838323353293,9.113300492610838,4.3316831683168315,25.862068965517242,13.918918918918918,65.76354679802957,43.85665529010239,97.53694581280789,83.66013071895425,29.345094385725545,40.09852216748769,17.022655487060547,1.668759714961523,0.32592592592592595,0.03125,1.4224170274170274
18,CoWTracker,none,84.51827242524918,29.846449136276394,15.916069600818833,58.44529750479847,36.775362318840585,86.56429942418427,64.13043478260869,96.06525911708253,75.5813953488372,97.98464491362763,78.34645669291339,54.14994374880374,73.78119001919387,10.778268814086914,1.018363349221758,0.4470842332613391,0.02436738519212746,1.2135248482126517
18,CoWTracker,medium,81.2624584717608,15.451055662188098,7.648183556405354,36.75623800383877,20.2349172450614,63.24376199616123,40.399002493765586,84.64491362763916,59.60311835577604,96.83301343570058,73.8996138996139,40.35696711012445,59.38579654510556,9.699143409729004,0.8720935900318619,0.48596112311015116,0.053420805998125584,1.2126743548395575
18,CoWTracker,strong,70.23255813953489,7.9654510556621885,3.8886221795487277,17.178502879078692,8.907901358832412,30.326295585412666,16.7835941716136,45.105566218809976,26.77211482132396,68.2341650671785,42.932628797886395,19.856972265841016,33.7619961612284,13.336621284484863,1.0336159200511337,0.5701943844492441,0.1724461105904405,1.853364003900405
19,CoWTracker,none,83.12570781426953,30.474040632054177,15.919811320754718,48.081264108352144,27.33160621761658,72.91196388261851,47.81954887218045,87.3589164785553,63.2890365448505,95.03386004514672,71.85314685314685,45.242629961709824,66.77200902934537,9.18786253531774,1.0427919374763757,0.27954545454545454,0.05555555555555555,1.2529770458299871
19,CoWTracker,medium,79.50169875424689,4.966139954853273,2.2610483042137717,16.93002257336343,7.917570498915401,44.24379232505643,23.60248447204969,73.81489841986456,45.46783625730994,95.48532731376976,65.00829187396351,28.85144628129046,47.08803611738149,8.690749367078146,0.9986386367920438,0.32954545454545453,0.07692307692307693,1.536469719822661
19,CoWTracker,strong,75.87768969422424,1.805869074492099,0.8008008008008007,5.643340857787811,2.441505595116989,17.381489841986454,7.585470085470085,42.88939051918736,20.743405275779374,71.55756207674943,40.25069637883008,14.364375627199466,27.85553047404063,9.481736451387405,1.1863810503824281,0.3795454545454545,0.09829059829059829,1.8886760722937195
20,CoWTracker,none,97.47826086956522,48.41530054644809,31.552706552706557,66.55737704918033,49.19224555735057,80.76502732240436,66.69675090252709,91.14754098360656,82.14990138067061,95.40983606557377,89.43589743589743,63.80550036583046,76.45901639344262,14.528100967407227,1.012822334425405,0.09787234042553192,0.006382978723404255,1.0919253812636165
20,CoWTracker,medium,96.78260869565217,31.256830601092894,18.228170809432758,52.349726775956285,34.81104651162791,70.49180327868852,53.30578512396694,86.44808743169399,74.17840375586854,96.39344262295081,90.4517453798768,54.19503031615459,67.3879781420765,12.614692687988281,0.8843275441191701,0.13191489361702127,0.006382978723404255,1.1045708920708919
20,CoWTracker,strong,94.69565217391305,6.885245901639345,3.4653465346534658,22.07650273224044,12.030970815961881,47.322404371584696,29.903314917127073,67.65027322404372,49.04912836767036,86.66666666666667,72.88602941176471,33.4669580094355,46.12021857923497,11.651453971862793,0.8359048330885631,0.23829787234042554,0.005319148936170213,1.1489756702991998
21,CoWTracker,none,100.0,68.63711001642037,52.25,86.37110016420363,76.01156069364163,99.67159277504105,99.34533551554829,100.0,100.0,100.0,100.0,85.52137924183798,90.935960591133,7.058567047119141,1.009242177410346,0.0,0.0,1.0060314523589269
21,CoWTracker,medium,100.0,38.42364532019704,23.78048780487805,63.71100164203612,46.74698795180723,89.73727422003283,81.3849590469099,99.91789819376025,99.83593109105826,100.0,100.0,70.34967317893069,78.35796387520524,6.917965888977051,0.9892430365701051,0.0,0.0,1.0060314523589269
21,CoWTracker,strong,99.91789819376025,1.8062397372742198,0.9117281392457521,7.224958949096879,3.749467405198125,29.064039408866993,17.011052378664104,68.7192118226601,52.377972465581976,95.97701149425288,92.18626677190213,33.247297432118415,40.55829228243021,9.406896591186523,1.3449107341541444,0.0,0.0008045052292839903,0.995631452358927
22,CoWTracker,none,71.04571728849184,29.061976549413735,13.480963480963482,66.08040201005025,36.686944314459524,90.20100502512562,57.89189189189189,95.30988274706867,63.09324399776661,99.66499162479062,67.87356321839081,47.805321380694465,76.06365159128978,5.676610946655273,0.9513967451271145,0.764456981664316,0.007383100902378999,2.2469950763807223
22,CoWTracker,medium,64.52968996321597,20.85427135678392,8.854907539118065,51.42378559463987,25.09194932570494,82.1608040201005,47.16346153846154,91.54103852596315,55.53861788617886,99.91624790619765,63.77742108079186,40.08527147405105,69.17922948073702,5.890148162841797,0.983994333207194,0.9506346967559943,0.0008203445447087777,3.476738186578637
22,CoWTracker,strong,62.743037309511294,6.281407035175879,2.4818001323626735,24.371859296482413,10.37063435495367,56.44891122278057,27.81675608749484,89.36348408710218,52.56157635467981,99.74874371859298,62.48688352570829,31.143530091039857,55.2428810720268,7.320004940032959,1.2223207581185127,1.0,0.0,4.180670085754962
23,CoWTracker,none,92.7289461573861,43.79821958456973,27.20561092654116,75.19287833827893,57.92850595783685,85.6379821958457,71.35753356539036,95.54896142433235,85.96869940636806,97.0919881305638,87.69063180827887,66.03019633288305,79.4540059347181,7.3785014152526855,1.1391605405811953,0.23975409836065573,0.023976608187134502,1.0761520315267898
23,CoWTracker,medium,92.7289461573861,28.130563798219583,15.863453815261044,62.07715133531158,43.17617866004963,78.93175074183976,62.15456674473068,90.32640949554896,77.9948586118252,97.80415430267063,88.45944474686989,57.52970051574729,71.45400593471811,8.120943069458008,1.285871663869184,0.25614754098360654,0.01929824561403509,1.1176993847669214
23,CoWTracker,strong,89.369535204786,5.637982195845697,2.794117647058824,20.474777448071215,10.917169152649953,55.01483679525223,35.93932322053676,80.0,61.80555555555556,93.94658753709199,79.50693374422187,38.19261986400459,51.01483679525223,9.724933624267578,1.455269359181894,0.36475409836065575,0.030994152046783626,1.2339127226724589
24,CoWTracker,none,90.97435897435898,77.3030707610147,57.49751737835154,97.59679572763686,85.49707602339181,99.86648865153538,89.26014319809069,100.0,89.48626045400239,100.0,89.48626045400239,82.24545150156777,94.95327102803739,4.034441947937012,1.0110712658508942,0.3893805309734513,0.0,1.2468324786324787
24,CoWTracker,medium,90.35897435897436,15.887850467289718,8.145106091718002,41.655540720961284,24.605678233438486,69.826435246996,48.7758945386064,99.06542056074767,87.20379146919431,100.0,88.7694145758662,51.499976981764675,65.28704939919893,4.12706995010376,1.0417215119788414,0.3893805309734513,0.007751937984496124,1.2305555555555556
24,CoWTracker,strong,85.43589743589743,0.13351134846461948,0.06349206349206349,3.337783711615487,1.6118633139909737,26.301735647530037,14.285714285714285,47.930574098798395,29.4987674609696,92.5233644859813,72.24043715846994,23.540054856527377,34.045393858477965,4.130103588104248,1.0208296448710132,0.48672566371681414,0.041343669250646,1.1846068376068377
25,CoWTracker,none,82.90398126463701,28.965517241379313,16.766467065868262,51.37931034482759,33.86727688787185,77.24137931034483,60.273972602739725,90.3448275862069,75.1497005988024,98.27586206896551,77.81155015197568,52.77379346145159,69.24137931034483,6.436983585357666,1.0282599655240954,0.2846715328467153,0.10793650793650794,1.3287619047619046
25,CoWTracker,medium,75.17564402810304,10.689655172413794,4.821150855365474,30.0,14.431239388794568,67.24137931034483,39.54451345755693,93.10344827586206,64.79217603911981,97.93103448275862,70.63291139240506,38.844398226648366,59.793103448275865,7.199792861938477,1.120927384712691,0.7299270072992701,0.01904761904761905,2.3951082251082254
