video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate
10,CoTracker3,medium,94.19999999999999,33.96656534954408,19.872379216043758,67.47720364741642,49.177538287010776,92.62917933130699,81.37931034482759,97.64437689969606,89.34485241180705,98.93617021276596,90.02890173410405,65.96059639875864,78.1306990881459,5.848241806030273,1.0109777922060241,0.08333333333333333,0.04399701715137957
10,CoTracker3,strong,64.5,10.638297872340425,5.78691184424013,35.18237082066869,19.7062423500612,66.8693009118541,34.52544704264099,89.43768996960486,45.103857566765576,97.41641337386018,46.51685393258427,30.327862547258434,59.90881458966564,6.283848762512207,1.0578624852417922,0.024853801169590642,0.5167785234899329
11,CoTracker3,none,87.4885004599816,37.194337194337194,24.250214224507282,65.63706563706563,48.261758691206545,90.21879021879022,70.18779342723005,99.35649935649936,82.84993694829761,99.48519948519949,82.84993694829761,61.67992804790783,78.37837837837837,4.297616004943848,0.9879906963912902,0.05161290322580645,0.15151515151515152
11,CoTracker3,medium,86.75252989880404,20.592020592020592,11.591962905718702,54.56885456885456,37.26235741444867,80.18018018018019,59.38189845474614,93.05019305019306,75.45565006075334,95.10939510939511,76.9607843137255,52.13053062987847,68.70012870012869,4.514813423156738,1.0123255560680398,0.054838709677419356,0.16035353535353536
11,CoTracker3,strong,70.19319227230912,4.89060489060489,2.4916943521594686,14.800514800514799,8.056042031523642,41.95624195624196,28.94461859979101,61.77606177606177,46.55581947743468,76.57657657657657,51.5970515970516,27.529045211592084,40.0,3.9733424186706543,0.9689155820266819,0.0064516129032258064,0.4065656565656566
12,CoTracker3,none,97.57281553398059,67.74509803921569,50.1861504095309,91.76470588235294,83.36363636363636,99.11764705882354,96.58869395711501,100.0,97.55142017629774,100.0,97.55142017629774,85.04826421657555,91.72549019607843,1.6850875616073608,1.0642761610622284,0.1,0.02330097087378641
12,CoTracker3,medium,98.15533980582525,60.0,41.906096706377014,90.88235294117646,81.61434977578476,98.82352941176471,95.84139264990328,100.0,98.14090019569471,100.0,98.14090019569471,83.1287279046909,89.94117647058823,1.4294861555099487,0.9034235537706555,0.2,0.01650485436893204
12,CoTracker3,strong,99.22330097087378,29.901960784313726,17.538815411155838,83.03921568627452,70.76023391812866,96.27450980392157,92.10526315789474,100.0,99.22027290448344,100.0,99.22027290448344,75.76897165922922,81.84313725490196,1.3672378063201904,0.871908298520857,0.6,0.001941747572815534
13,CoTracker3,none,88.81469115191987,29.125,16.5,57.06250000000001,39.32842686292548,85.75,70.16853932584269,97.875,85.03359804520464,100.0,87.55417956656348,59.71694876010727,73.96249999999999,3.6430904865264893,0.9931098591727757,0.07614213197969544,0.11446153846153846
13,CoTracker3,medium,88.31385642737897,25.1875,13.576532531026702,54.75,36.03603603603604,81.4375,65.20787746170679,95.0625,83.14129775621589,98.75,85.73185731857319,56.73872022071173,71.0375,3.430546283721924,0.9570369310679493,0.07614213197969544,0.12
13,CoTracker3,strong,85.19755147468003,7.875,4.1739740441950195,29.9375,18.044515103338632,61.8125,45.01953125,84.75,68.27195467422096,94.9375,79.7820823244552,43.05841147924197,55.86249999999999,2.6149985790252686,0.7907459622287462,0.09137055837563451,0.15261538461538462
14,CoTracker3,none,69.1721686135094,17.43810548977395,9.851877368239752,45.20990312163617,29.634146341463413,79.60172228202367,54.73071324599709,96.39397201291712,66.61442006269593,100.0,68.01896733403584,45.770024870486395,67.72874058127019,5.335084438323975,1.0383828989382493,0.36036036036036034,0.30111524163568776
14,CoTracker3,medium,44.43880142204165,17.43810548977395,9.343936381709742,35.30678148546825,17.92452830188679,65.60818083961249,30.393551446183025,83.85360602798708,35.60157790927022,92.14208826695372,37.29405891163255,26.111530590136468,58.869752421959085,10.012650489807129,2.18672287029116,0.5765765765765766,0.5469994689325545
