video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate,trajectory_length_ratio,visibility_bias
3,CoTracker3,medium,89.93871297242084,44.16167664670659,28.851963746223564,83.00898203592814,71.05614973262033,90.6437125748503,80.59280169371912,93.7874251497006,84.76534296028882,95.13473053892216,85.70391872278664,70.1940353711277,81.34730538922156,1.3026604652404783,0.6642728434406578,0.067524115755627,0.1138868479059515,,-0.04636273215032449
3,CoTracker3,strong,76.25127681307457,37.27544910179641,20.606564187785622,75.22455089820359,52.06914614981666,86.52694610778443,63.82618510158014,93.4131736526946,67.03107019562717,94.91017964071855,68.58304297328688,54.42320172161929,77.47005988023953,0.5002890825271606,0.4812212983607352,0.5594855305466238,0.0859662013225569,,0.47351932922406686
4,CoTracker3,none,91.77524429967428,79.13322632423755,65.54149085794656,88.76404494382022,73.34315169366715,97.1107544141252,79.96941896024465,98.87640449438202,82.19814241486068,100.0,84.19405320813772,77.04925142697135,92.77688603531298,1.4317712783813477,2.228258672730051,0.0264462809917355,0.1311728395061728,,-0.10472655851443731
4,CoTracker3,medium,91.77524429967428,71.58908507223114,54.21530479896239,79.29373996789727,60.893098782138026,88.4430176565008,71.3256484149856,93.41894060995185,77.46268656716417,99.83948635634027,84.05572755417957,69.59049322348594,86.51685393258427,1.2420495748519895,2.320209235981463,0.0363636363636363,0.1219135802469135,,-0.08554994388327719
4,CoTracker3,strong,87.70358306188925,68.0577849117175,53.67156208277704,73.35473515248796,56.59863945578232,78.00963081861958,58.104395604395606,85.553772070626,64.19400855920114,91.3322632423756,70.26627218934911,60.56697557830104,79.26163723916532,0.981819748878479,1.3393650618197024,0.0462809917355371,0.1898148148148148,,-0.1435338230792777
5,CoTracker3,none,98.99413243922884,81.84210526315789,67.3913043478261,91.57894736842104,82.03309692671394,96.84210526315788,91.06699751861042,99.73684210526316,96.42857142857144,100.0,96.9309462915601,86.7701833026564,94.0,20.416505813598636,0.9901100368557908,0.013530135301353,0.0024691358024691,,0.0110609994988839
5,CoTracker3,medium,91.70159262363788,3.947368421052632,1.7725258493353029,13.421052631578949,6.821705426356589,42.368421052631575,27.59259259259259,83.94736842105263,68.45965770171149,91.84210526315788,72.68170426065163,35.46563716612952,47.10526315789473,11.202834129333496,0.6185782508773984,0.017220172201722,0.2098765432098765,,-0.1926563710081545
5,CoTracker3,strong,81.64291701592624,0.2631578947368421,0.1730103806228373,0.2631578947368421,0.1730103806228373,0.5263157894736842,0.1730103806228373,14.473684210526317,4.701627486437613,41.8421052631579,18.404907975460123,4.725113320753249,11.473684210526317,6.3135085105896,0.3819082054683234,0.023370233702337,0.4938271604938271,,-0.4704569267914901
6,CoTracker3,none,85.51980198019803,43.95604395604396,28.762135922330096,73.80952380952381,57.652303120356606,91.57509157509158,77.12854757929884,94.32234432234432,79.83050847457626,94.5054945054945,80.1358234295416,64.70186370522069,79.63369963369964,3.342348098754883,1.0029419454853314,0.1641221374045801,0.1295971978984238,,0.03452493950615629
6,CoTracker3,medium,84.4059405940594,41.75824175824176,26.611957796014067,68.4981684981685,52.11267605633802,85.16483516483517,71.97452229299363,90.47619047619048,77.92421746293246,93.4065934065934,78.51239669421489,61.42715406049861,75.86080586080585,2.535031080245972,0.7985954385622032,0.2175572519083969,0.1208406304728546,,0.0967166214355423
6,CoTracker3,strong,75.4950495049505,26.373626373626376,14.486921529175053,54.57875457875458,35.476190476190474,73.62637362637363,53.99188092016238,82.23443223443223,63.271162123385935,88.82783882783882,69.09361069836552,47.26395314945588,65.12820512820512,1.7977229356765747,0.6324335372478876,0.465648854961832,0.1330998248686515,,0.3325490300931805
7,CoTracker3,none,93.86666666666666,45.26901669758813,28.78548895899053,60.42053184910328,42.55783500654736,78.10760667903524,62.32604373757455,90.35250463821892,79.05701754385966,96.96969696969695,89.55310504933256,60.455898059260925,74.22387136672852,7.395681381225586,1.033416688636164,0.1342812006319115,0.0322777101096224,,0.1020034905222891
7,CoTracker3,medium,92.44444444444444,28.509585652442794,16.30550621669627,46.32034632034632,29.253849190682985,68.21273964131107,49.15717539863326,83.42609771181199,66.78553234844625,96.04205318491032,86.02272727272727,49.50495808543721,64.5021645021645,7.289095401763916,1.0206917167238008,0.1658767772511848,0.0395858708891595,,0.1262909063620253
7,CoTracker3,strong,79.24444444444444,10.327767470624613,6.02810650887574,22.325293753865186,14.132165605095542,37.53865182436611,25.635407537248028,56.153370439084725,42.282878411910666,79.5299938157081,61.24859392575927,29.865430397777853,41.17501546072974,7.973798751831055,1.0952517276751328,0.0789889415481832,0.2539585870889159,,-0.1749696455407327
8,CoTracker3,none,87.63586956521739,31.204379562043798,19.27144535840188,72.62773722627736,57.36434108527132,93.6131386861314,78.69718309859155,97.9014598540146,83.54430379746836,98.63138686131386,83.54430379746836,64.4843154274403,78.7956204379562,6.041135311126709,0.8951583472234264,0.026595744680851,0.1534344335414808,,-0.12683868886062982
8,CoTracker3,medium,83.62771739130434,28.28467153284672,17.761989342806395,64.78102189781022,51.36986301369864,81.56934306569343,67.84810126582278,89.96350364963503,73.10704960835508,95.52919708029196,77.27272727272727,57.47194610068205,72.02554744525548,5.398090362548828,0.7921015383030192,0.050531914893617,0.1980374665477252,,-0.1475055516541082
8,CoTracker3,strong,78.80434782608695,20.16423357664233,11.787072243346008,58.57664233576643,42.91666666666666,75.18248175182481,58.91891891891892,83.02919708029196,63.72315035799523,90.05474452554745,66.50485436893204,48.77013251117177,65.4014598540146,2.36222767829895,0.5785322919209736,0.2367021276595744,0.1989295272078501,,0.037772600451724314
